PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMS(original)
ABRP,15,1,15_1,A (0 - 2.5),A,0,36738,2000,36294,1999,PBH (0 - 2.5),0
ABRP,15,1,15_1,A (0 - 2.5),A,0,37862,2003,37398,2002,PBH (0 - 2.5),0
ABRP,15,1,15_1,A (0 - 2.5),A,0,38591,2005,38114,2004,PBH (0 - 2.5),0
ABRP,15,1,15_1,A (0 - 2.5),A,0,39679,2008,2006,2006,PBH (0 - 2.5),0
ABRP,15,1,15_1,A (0 - 2.5),A,0,40372,2010,39965,2009,PBH (0 - 2.5),0
ABRP,15,1,15_1,A (0 - 2.5),A,0,42235,2015,2014,2014,PBH (0 - 2.5),0
ABRP,15,1,15_1,A (0 - 2.5),A,0,43320,2018,2017,2017,PBH (0 - 2.5),0
ABRP,15,1,15_1,A (0 - 2.5),A,0,44049,2020,2019,2019,PBH (0 - 2.5),0
ABRP,21,1,21_1,A (0 - 2.5),A,0,35285,1996,34460,1994,PBH (0 - 2.5),0
ABRP,21,2,21_2,A (0 - 2.5),A,0,35286,1996,34460,1994,PBH (0 - 2.5),0
ABRP,21,3,21_3,A (0 - 2.5),A,0,35292,1996,34460,1994,PBH (0 - 2.5),0
ABRP,21,1,21_1,A (0 - 2.5),A,0,36031,1998,35577,1997,PBH (0 - 2.5),0
ABRP,21,2,21_2,A (0 - 2.5),A,0,36031,1998,35577,1997,PBH (0 - 2.5),0
ABRP,21,3,21_3,A (0 - 2.5),A,0,36032,1998,35577,1997,PBH (0 - 2.5),0
