PRES,BU,PLOT,BP,SIZE,STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,SIZE_MONYEAR
ABRP,1,3,1_3,D,1,8/3/2009,2009,6/5/2008,2008,2009_D
ABRP,1,3,1_3,E,0,8/3/2009,2009,6/5/2008,2008,2009_E
ABRP,1,3,1_3,F,0,8/3/2009,2009,6/5/2008,2008,2009_F
ABRP,1,3,1_3,G,0,8/3/2009,2009,6/5/2008,2008,2009_G
ABRP,1,3,1_3,H,0,8/3/2009,2009,6/5/2008,2008,2009_H
ABRP,1,3,1_3,I,0,8/3/2009,2009,6/5/2008,2008,2009_I
ABRP,1,3,1_3,J,0,8/3/2009,2009,6/5/2008,2008,2009_J
ABRP,1,4,1_4,SEEDLING,3,8/3/2009,2009,6/5/2008,2008,2009_SEEDLING
ABRP,1,4,1_4,A,0,8/3/2009,2009,6/5/2008,2008,2009_A
ABRP,1,4,1_4,B,50,8/3/2009,2009,6/5/2008,2008,2009_B
ABRP,1,4,1_4,C,35,8/3/2009,2009,6/5/2008,2008,2009_C
ABRP,1,4,1_4,D,3,8/3/2009,2009,6/5/2008,2008,2009_D
ABRP,1,4,1_4,E,1,8/3/2009,2009,6/5/2008,2008,2009_E
ABRP,1,4,1_4,F,0,8/3/2009,2009,6/5/2008,2008,2009_F
ABRP,1,4,1_4,G,0,8/3/2009,2009,6/5/2008,2008,2009_G
