PRES,BU,PLOT,BP,meanPerPG,StdDevPG,MONYEAR,MONDATE,LASTBURNDATE,LASTBURNYEAR,,
ABRP,22,5,22_5,30.35,20.2647607,2010,7/14/2010,6/1/2009,2009,,
ABRP,22,5,22_5,20.65,14.09096388,2012,8/8/2012,2011,2011,,
ABRP,22,5,22_5,29.85,24.87711906,2014,11/3/2014,2013,2013,,
ABRP,22,5,22_5,34.25,15.41316935,2018,8/8/2018,2017,2017,,
ABRP,32,1,32_1,29,16.90530904,1999,8/26/1999,4/27/1998,1998,,
ABRP,32,1,32_1,41.25,20.76655966,2002,9/23/2002,4/3/2001,2001,,
ABRP,32,1,32_1,34.15,23.26568514,2005,8/18/2005,4/9/2004,2004,,
ABRP,32,1,32_1,11.6,16.19746569,2009,7/28/2009,6/7/2008,2008,,
ABRP,32,1,32_1,14,10.83367071,2012,8/24/2012,2011,2011,,
ABRP,32,1,32_1,32.25,13.02578415,2018,8/28/2018,2017,2017,,
ABRP,32,2,32_2,27.75,15.34472308,1999,8/27/1999,4/27/1998,1998,,
ABRP,32,2,32_2,26.75,21.59891566,2002,10/3/2002,4/3/2001,2001,,
ABRP,32,2,32_2,28,10.43778561,2005,8/17/2005,4/9/2004,2004,,
ABRP,32,2,32_2,7.6,4.511972378,2009,7/29/2009,6/7/2008,2008,,
ABRP,32,2,32_2,12.8,9.440115967,2012,8/24/2012,2011,2011,,
ABRP,32,2,32_2,34.5,10.74831688,2018,8/21/2018,2017,2017,,
ABRP,32,3,32_3,34,16.9829636,1999,8/27/1999,4/27/1998,1998,,
ABRP,32,3,32_3,48.5,22.01076292,2002,10/1/2002,4/3/2001,2001,,
ABRP,32,3,32_3,46.75,21.84123334,2005,8/13/2005,4/9/2004,2004,,
ABRP,32,3,32_3,14,7.840515558,2009,7/29/2009,6/7/2008,2008,,
ABRP,32,3,32_3,9.9,7.608167357,2012,8/24/2012,2011,2011,,
ABRP,32,3,32_3,31.55,16.35936879,2018,8/21/2018,2017,2017,,
ABRP,32,4,32_4,26.6,18.85233477,1999,8/30/1999,4/27/1998,1998,,
ABRP,32,4,32_4,39.55,25.14897717,2002,9/30/2002,4/3/2001,2001,,
ABRP,32,4,32_4,43,20.79979757,2005,8/13/2005,4/9/2004,2004,,
ABRP,32,4,32_4,20.9,17.24101597,2009,7/29/2009,6/7/2008,2008,,
ABRP,32,4,32_4,22.05,15.52069925,2012,9/3/2012,2011,2011,,
ABRP,32,4,32_4,21.55,18.58543572,2018,8/10/2018,2017,2017,,
ABRP,32,5,32_5,31.9,19.44195139,1999,9/3/1999,4/27/1998,1998,,
ABRP,32,5,32_5,30.5,21.02004056,2002,10/1/2002,4/3/2001,2001,,
ABRP,32,5,32_5,35,20.19640406,2005,8/10/2005,4/9/2004,2004,,
ABRP,32,5,32_5,18.6,13.51957645,2009,7/29/2009,6/7/2008,2008,,
ABRP,32,5,32_5,16.75,10.29499112,2012,8/31/2012,2011,2011,,
ABRP,32,5,32_5,17.75,11.63875106,2018,8/9/2018,2017,2017,,
ABRP,32,6,32_6,47.4,23.11162842,1999,8/27/1999,4/27/1998,1998,,
ABRP,32,6,32_6,39.5,23.94621166,2002,9/30/2002,4/3/2001,2001,,
ABRP,32,6,32_6,28.25,21.78090666,2005,8/16/2005,4/9/2004,2004,,
ABRP,32,6,32_6,22.5,17.80744965,2009,7/28/2009,6/7/2008,2008,,
ABRP,32,6,32_6,28.5,14.96487115,2012,9/3/2012,2011,2011,,
ABRP,32,6,32_6,29.25,10.42201617,2018,8/10/2018,2017,2017,,
ABRP,32,7,32_7,29.55,18.54858485,1999,8/23/1999,4/27/1998,1998,,
ABRP,32,7,32_7,34.65,24.32948179,2002,9/16/2002,4/3/2001,2001,,
ABRP,32,7,32_7,37.25,17.35655496,2005,8/16/2005,4/9/2004,2004,,
ABRP,32,7,32_7,11.4,8.00920523,2009,7/29/2009,6/7/2008,2008,,
ABRP,32,7,32_7,6.6,4.849308144,2012,8/23/2012,2011,2011,,
ABRP,32,7,32_7,24.75,13.21034284,2018,8/29/2018,2017,2017,,
ABRP,32,8,32_8,35.25,18.38728107,1999,8/25/1999,4/27/1998,1998,,
ABRP,32,8,32_8,33.15,18.96055462,2002,9/16/2002,4/3/2001,2001,,
ABRP,32,8,32_8,30,12.36033081,2005,8/19/2005,4/9/2004,2004,,
ABRP,32,8,32_8,10.15,6.876925568,2009,7/29/2009,6/7/2008,2008,,
ABRP,32,8,32_8,19.45,16.58304461,2012,8/24/2012,2011,2011,,
ABRP,32,8,32_8,16.55,14.80922543,2018,8/29/2018,2017,2017,,
ABRP,32,9,32_9,31.95,24.67360618,1999,9/3/1999,4/27/1998,1998,,
ABRP,32,9,32_9,21.25,9.441649053,2005,8/8/2005,4/9/2004,2004,,
